id,name,desc,type,domain,vega,cq
1,E.order.message.CancelOrderMessage,取消订单,order,order,1,
2,E.order.message.CompletedPayMessage,完成支付,order,order,1,
3,E.order.message.CompletedSplit,完成支付拆单,order,order,1,
4,E.order.message.CreateOrderByCartMessage,购物车创建订单,order,order,1,
5,E.order.message.CreateOrderDirectlyMessage,创建耗材、分销、试用等订单入口,order,order,1,
6,E.order.message.CreateOrderLuckyDrawMessage,创建拼团抽奖订单：试用\抽奖\老带新,order,order,1,
7,E.order.message.CreateOrderOneClickBuyMessage,一键购买,order,order,1,
8,E.order.message.CreatePinTuanOrderMessage,创建拼团订单,order,order,1,
9,E.order.message.CreatePresellOrderMessage,创建预售订单,order,order,1,
10,E.order.message.OvertimePayMessage,支付超时回调,order,order,1,
11,E.order.message.ToPayMessage,去支付接口,order,order,1,
12,order.service.OrderDeliverService.closeOrder,关闭订单（独立，后台关单）,order,order,1,
13,order.service.OrderDeliverService.confirmDelivery,确认包裹收货接口,order,order,1,
14,order.service.OrderDeliverService.createOrderDelivery,包裹发货,order,order,1,
15,order.service.OrderDeliverService.queryDeliverOrderDetail,查询订单包裹列表信息,order,order,1,
16,order.service.OrderDeliverService.queryDeliveryListByOrderNo,根据订单号查询包裹列表信息,order,order,1,
17,order.service.OrderDeliverService.queryGoodsByDeliveryId,查询包裹商品明细列表,order,order,1,
18,order.service.OrderDeliverService.queryNoDeliverGoodsList,查询订单内尚未发货的商品列表,order,order,1,
19,order.service.OrderDeliverService.queryPackageAndGoodsList,根据订单号获取包裹列表及包裹所对应的商品列表,order,order,1,
20,order.service.OrderDeliverService.updateDeliveryInfo,修改物流信息,order,order,1,
21,order.service.OrderEventService.queryIsFirstOrder,是否首单,order,order,1,
22,order.service.OrderEventService.queryOrdersAndPay,卷皮试用项目（查询用户的订单数量以及付款金额总价）,order,order,1,
23,order.service.OrderExpressFeeService.getCollectOrderForFreePost,包邮凑单商家查询,order,order,1,
24,order.service.OrderExpressFeeService.getOrderExpressFeeList,计算邮费分摊,order,order,1,
25,order.service.OrderQueryService.addOrderLog,添加日志,order,order,1,
26,order.service.OrderQueryService.addOrderLogBatch,批量添加日志,order,order,1,
27,order.service.OrderQueryService.countOrderByStatusList,通过订单状态列表返回订单总数,order,order,1,
28,order.service.OrderQueryService.countOrderNumsByCondition,"统计多状态订单数量优化版本,红点逻辑",order,order,1,
29,order.service.OrderQueryService.delete,用户删除订单,order,order,1,
30,order.service.OrderQueryService.generateSerialNo,生成订单号和支付号,order,order,1,
31,order.service.OrderQueryService.getOrderScore,积分计算规则服务化接口,order,order,1,
32,order.service.OrderQueryService.getPayNoByOrderNo,根据订单号获取支付单号,order,order,1,
33,order.service.OrderQueryService.getUserLatestOrderDetail,获取用户最近一笔已完成订单的商品列表,order,order,1,
34,order.service.OrderQueryService.queryGoodsFullGivenInfo,售后查询需要返回的赠品信息,order,order,1,
35,order.service.OrderQueryService.queryOrderDetail,订单详情接口优化版本,order,order,1,
36,order.service.OrderQueryService.queryOrderDetailByOrderNos,根据订单号-用户号【批量】查询订单详情,order,order,1,
37,order.service.OrderQueryService.queryOrderDetailList,订单列表接口优化版本（APP端）,order,order,1,
38,order.service.OrderQueryService.queryOrderGoodsBySgId,根据sgid查询订单商品信息,order,order,1,
39,order.service.OrderQueryService.queryOrderInfosByPayNo,根据支付号获取订单信息和支付信息,order,order,1,
40,order.service.OrderQueryService.queryOrderList,查询订单列表,order,order,1,
41,order.service.OrderQueryService.queryOrderPayInfos,通过支付号、支付列表查询支付信息,order,order,1,
42,order.service.OrderQueryService.queryRefoundOrderList,查询可售后订单列表,order,order,1,
43,order.service.OrderQueryService.queryRelatedOrder,查询活动关联订单,order,order,1,
44,order.service.OrderQueryService.querySkuCount,订单sku订单占用量统计,order,order,1,
45,order.service.OrderQueryService.queryUnpaiedSellerOrderList,查询商家侧未付款用户订单列表,order,order,1,
46,order.service.OrderQueryService.updateEvaluateStatus,根据订单号修改评价状态,order,order,1,
47,order.service.OrderQueryService.updateGiftInfoRefund,售后回收赠品,order,order,1,
48,order.service.OrderQueryService.updateGivenDouFlag,更新赠送积分标识,order,order,1,
49,order.service.OrderQueryService.updateGoodsStatusBySgId,根据商品ID修改商品售后状态,order,order,1,
50,order.service.OrderQueryService.updateOrderAddressInfo,修改订单收货地址,order,order,1,
51,order.service.OrderQueryService.updateOrderStatusToFraud,可疑订单转欺诈,order,order,1,
52,order.service.OrderQueryService.updateOrderStatusToNormal,可疑订单转正常,order,order,1,
53,pintuan.service.PintuanQueryService.queryMyPintuan,我的拼团列表,pintuan,order,1,
54,pintuan.service.PintuanQueryService.queryPintuanById,根据拼团ID查拼团,pintuan,order,1,
55,pintuan.service.PintuanQueryService.queryPintuanByMultiSgId,根据sgId获得多个拼团信息,pintuan,order,1,
56,pintuan.service.PintuanQueryService.queryPintuanByPayNoOrMainOrder,根据支付号或者主单号查拼团列表,pintuan,order,1,
57,pintuan.service.PintuanQueryService.queryPintuanByProduct,根据商品id获得正在拼的团（带地址信息）,pintuan,order,1,
58,pintuan.service.PintuanQueryService.queryPintuanBySgId,根据sgId获得拼团信息,pintuan,order,1,
